feature,importance,project
age,0.03718247959658679,mruby
directories_changed,0.026247830159504236,mruby
entropy,0.030567638480127803,mruby
exp,0.037156236116104274,mruby
files_changed,0.02945450779702554,mruby
is_bug_fix,0.02308304178477825,mruby
lines_added,0.03791891166818365,mruby
lines_deleted,0.03016396576676409,mruby
ndev,0.0373594133279631,mruby
nuc,0.02635590652215635,mruby
patch_coverage_recalculated,0.1178194986129602,mruby
project_total_branch_percent,0.027239538753239603,mruby
project_total_branch_percent_delta,0.034928204126939956,mruby
project_total_function_percent,0.0459426569717961,mruby
project_total_function_percent_delta,0.03393924770021279,mruby
project_total_instantiation_percent,0.05244904961553184,mruby
project_total_instantiation_percent_delta,0.03859359735676304,mruby
project_total_line_percent,0.043265997581843116,mruby
project_total_line_percent_delta,0.046505369198069545,mruby
project_total_region_percent,0.047422139520813984,mruby
project_total_region_percent_delta,0.04860363123282133,mruby
rexp,0.04178287572269743,mruby
sexp,0.03651387854665191,mruby
subsystems_changed,0.02791767802977294,mruby
total_prev_loc,0.04158670581069217,mruby
